relative_sec,EEG1,EEG2,EEG3,EEG4
0,-2207.782621,-2079.030955,-1969.571563,-2109.028692
0.005,-2217.741974,-2078.944937,-1971.781844,-2114.036418
0.01,-2201.058281,-2066.169439,-1948.448608,-2106.50052
0.015,-2216.825699,-2091.054733,-1964.601236,-2104.705368
0.02,-2221.500574,-2104.148123,-1976.812009,-2113.112663
0.025,-2234.747299,-2082.95411,-1973.472279,-2134.340335
0.03,-2216.732201,-2076.21107,-1963.733579,-2098.837465
0.035,-2206.31658,-2068.076788,-1963.052917,-2096.634664
0.04,-2198.313194,-2068.574195,-1960.850116,-2092.221582
0.045,-2192.011463,-2084.326653,-1965.330516,-2101.029046
0.05,-2196.98179,-2076.046515,-1964.178627,-2093.743721
0.055,-2179.957765,-2066.48733,-1954.982213,-2096.006361
0.06,-2186.13234,-2067.702798,-1958.172348,-2095.954002
0.065,-2179.146207,-2063.764683,-1946.556219,-2082.258488
0.07,-2202.662698,-2072.86012,-1964.317003,-2101.866784
0.075,-2187.890093,-2074.797388,-1960.708,-2094.884391
0.08,-2190.956811,-2075.186338,-1957.790878,-2085.654318
0.085,-2190.171432,-2091.997188,-1966.725499,-2095.247161
0.09,-2188.630593,-2080.590493,-1964.971486,-2100.598958
0.095,-2186.375433,-2069.696165,-1955.980766,-2100.183829
0.1,-2191.300882,-2067.100674,-1969.328469,-2107.184922
0.105,-2179.329462,-2062.362221,-1957.992833,-2098.328839
0.11,-2191.970324,-2079.027215,-1958.703414,-2102.053779
0.115,-2181.670639,-2060.769023,-1948.882436,-2086.660351
0.12,-2202.161551,-2074.647792,-1976.123868,-2100.87945
0.125,-2189.071901,-2062.526776,-1967.05087,-2102.869077
0.13,-2191.753409,-2078.174518,-1955.157988,-2089.087546
0.135,-2190.306068,-2069.726084,-1971.475172,-2098.564452
0.14,-2194.666791,-2057.014164,-1975.532963,-2094.90683
0.145,-2192.056341,-2063.648746,-1969.754818,-2099.312432
0.15,-2187.729277,-2063.8881,-1955.808731,-2089.790647
0.155,-2178.918073,-2064.493964,-1949.985707,-2078.043621
0.16,-2166.909254,-2055.794956,-1951.668662,-2065.054949
0.165,-2165.454433,-2058.222151,-1949.933348,-2056.707492
0.17,-2173.869208,-2062.829708,-1953.258119,-2074.846007
0.175,-2177.953179,-2060.021043,-1957.577704,-2080.489516
0.18,-2171.614048,-2055.136734,-1952.442821,-2070.885453
0.185,-2166.576403,-2068.076788,-1971.972579,-2080.302521
0.19,-2167.268284,-2060.279096,-1960.913695,-2089.042667
0.195,-2171.808523,-2054.126961,-1949.465861,-2092.902244
0.2,-2174.16466,-2062.597834,-1961.272725,-2095.030247
0.205,-2159.635149,-2051.108862,-1956.365976,-2076.940351
0.21,-2154.930354,-2057.795803,-1947.824045,-2079.95471
0.215,-2168.56977,-2053.820289,-1950.180182,-2081.521728
0.22,-2161.127369,-2053.04239,-1950.883283,-2077.269462
0.225,-2163.588223,-2057.784583,-1947.072325,-2093.134118
0.23,-2165.19638,-2058.872894,-1951.904276,-2102.962575
0.235,-2169.336449,-2070.283329,-1964.313264,-2089.023967
0.24,-2149.069931,-2038.591417,-1939.801959,-2076.390585
0.245,-2157.088277,-2042.353756,-1950.879543,-2073.017196
0.25,-2149.155949,-2056.853348,-1931.585399,-2069.621367
0.255,-2147.573971,-2058.502644,-1937.816072,-2069.49795
0.26,-2155.693294,-2034.810378,-1932.969162,-2071.502536
0.265,-2149.096111,-2040.865276,-1940.916449,-2060.52593
0.27,-2146.324845,-2059.209485,-1949.903429,-2064.845514
0.275,-2150.319058,-2052.907754,-1932.554033,-2074.71137
0.28,-2148.258373,-2054.826322,-1932.516634,-2054.336395
0.285,-2139.469608,-2037.585384,-1945.037819,-2052.429046
0.29,-2152.693894,-2055.331209,-1975.596542,-2065.140966
0.295,-2168.756765,-2039.769485,-1953.901382,-2072.602067
0.3,-2163.610662,-2052.896534,-1948.38877,-2067.515803
0.305,-2148.235934,-2049.422167,-1950.744907,-2076.072694
0.31,-2148.430408,-2041.661874,-1946.305645,-2078.911278
0.315,-2149.451401,-2049.859735,-1959.57481,-2077.108646
0.32,-2135.991501,-2044.571517,-1962.338596,-2079.936011
0.325,-2121.82102,-2035.83885,-1960.808977,-2052.111155
0.33,-2116.929231,-2031.201374,-1947.887623,-2034.71688
0.335,-2123.189824,-2055.450886,-1958.680974,-2041.228046
0.34,-2113.320228,-2029.357604,-1932.542813,-2038.520358
0.345,-2111.319381,-2008.754495,-1918.256396,-2039.986399
0.35,-2099.39284,-2023.059612,-1940.340505,-2046.553664
0.355,-2109.056742,-2033.24336,-1951.399389,-2047.017411
0.36,-2113.103313,-2039.159881,-1945.909216,-2053.80907
0.365,-2114.887246,-2027.300659,-1963.049177,-2047.503598
0.37,-2111.136126,-2025.576565,-1936.548246,-2081.562867
0.375,-2116.166291,-2032.409362,-1940.082452,-2063.757203
0.38,-2122.823313,-2035.333964,-1939.626184,-2069.348354
0.385,-2140.011894,-2063.267277,-1957.386969,-2079.490963
0.39,-2129.783267,-2039.174841,-1955.408562,-2065.866507
0.395,-2127.543067,-2024.129223,-1950.101644,-2076.005376
0.4,-2137.734294,-2045.386815,-1979.912386,-2077.796788
0.405,-2128.57154,-2042.488392,-1944.903183,-2055.578042
0.41,-2129.891724,-2051.942859,-1954.122036,-2071.072448
0.415,-2135.64369,-2081.129039,-1957.607623,-2065.571055
0.42,-2151.534525,-2070.122513,-1959.799204,-2079.535841
0.425,-2128.463082,-2029.911109,-1944.828385,-2059.149647
0.43,-2126.551994,-2038.022952,-1940.374164,-2059.01875
0.435,-2113.331447,-2032.704814,-1937.015734,-2038.497919
0.44,-2118.08486,-2023.811332,-1940.89401,-2043.068077
0.445,-2109.311055,-2024.353617,-1921.263275,-2034.847777
0.45,-2113.368846,-2035.921128,-1930.826199,-2048.838742
0.455,-2105.702051,-2029.252886,-1926.413117,-2041.351463
0.46,-2112.774202,-2039.552571,-1926.779628,-2048.1693
0.465,-2107.949731,-2028.037419,-1926.962883,-2042.746445
0.47,-2126.585653,-2035.143229,-1939.667323,-2054.616888
0.475,-2129.162444,-2029.765253,-1937.442082,-2062.242544
0.48,-2141.956642,-2030.24022,-1955.718973,-2087.774841
0.485,-2131.406384,-2046.938873,-1944.312279,-2084.289254
0.49,-2151.250293,-2072.804021,-1962.312417,-2092.128084
0.495,-2131.440043,-2050.607715,-1952.192248,-2075.425691
0.5,-2106.939958,-2019.02052,-1933.42169,-2055.551863
0.505,-2099.931386,-2025.617704,-1913.843314,-2044.709893
0.51,-2100.668146,-2031.141536,-1933.380551,-2049.044437
0.515,-2124.001382,-2038.83825,-1941.843945,-2070.24593
0.52,-2127.142898,-2048.382475,-1946.432802,-2073.129393
0.525,-2115.350993,-2036.530732,-1940.086192,-2060.956018
0.53,-2121.944437,-2044.029231,-1944.25618,-2061.105614
0.535,-2110.444244,-2036.287638,-1930.575626,-2049.384768
0.54,-2119.060974,-2026.298365,-1937.423383,-2048.651747
0.545,-2110.61254,-2034.832817,-1939.973995,-2038.505399
0.55,-2112.381513,-2032.600097,-1923.608192,-2043.748739
0.555,-2112.127199,-2027.23334,-1928.376565,-2047.507338
0.56,-2112.579727,-2041.527238,-1927.123698,-2055.118035
0.565,-2107.366307,-2036.803744,-1927.243375,-2061.25521
0.57,-2131.290447,-2047.612055,-1958.920328,-2055.866014
0.575,-2128.780974,-2054.721605,-1950.928162,-2076.020335
0.58,-2127.258835,-2045.869262,-1945.142536,-2066.85758
0.585,-2126.589393,-2037.024399,-1935.198142,-2054.635587
0.59,-2120.676611,-2071.468877,-1931.151571,-2059.957465
0.595,-2123.904144,-2034.391509,-1933.575026,-2050.630155
0.6,-2124.44643,-2033.288238,-1928.724376,-2057.388154
0.605,-2116.121413,-2022.872617,-1930.407331,-2063.813302
0.61,-2105.855387,-2050.218766,-1913.476803,-2063.196218
0.615,-2093.263144,-2044.478019,-1916.801575,-2041.957327
0.62,-2088.139481,-2021.25698,-1909.538689,-2046.31805
0.625,-2086.508885,-2028.934995,-1900.293656,-2047.787831
0.63,-2062.214495,-2021.515033,-1877.401729,-2031.508046
0.635,-2075.498619,-2023.51588,-1889.732179,-2045.091363
0.64,-2030.099974,-2015.66209,-1867.861244,-2026.059012
0.645,-1994.260512,-2013.855718,-1842.893672,-2034.578504
0.65,-1980.168569,-2006.188923,-1823.229278,-2033.291978
0.655,-1968.462683,-2026.14129,-1817.641867,-2034.417688
0.66,-1940.447092,-2034.144676,-1787.958281,-2038.468
0.665,-1906.167169,-2002.849193,-1750.877173,-2013.825799
0.67,-1879.183791,-1998.619366,-1724.724053,-1992.725284
0.675,-1863.824022,-1992.302675,-1731.354895,-1995.885499
0.68,-1868.416619,-1999.415965,-1703.006454,-1987.459504
0.685,-1863.438812,-1967.43608,-1717.902475,-1978.061136
0.69,-1844.163368,-1982.556496,-1698.769147,-1975.895734
0.695,-1837.663422,-1989.419212,-1709.734534,-1972.28299
0.7,-1852.518304,-1961.672894,-1694.54306,-1973.767731
0.705,-1850.734372,-1973.06089,-1711.888716,-1960.483606
0.71,-1852.851155,-1973.4274,-1698.410117,-1964.047731
0.715,-1870.069655,-1981.946892,-1715.523899,-1975.473125
0.72,-1890.003321,-1996.330547,-1728.097442,-1986.969578
0.725,-1897.860851,-1989.587507,-1743.090701,-1981.355988
0.73,-1898.593872,-1983.233417,-1740.072602,-1989.168639
0.735,-1920.532125,-1994.468077,-1775.994341,-1995.171178
0.74,-1950.593441,-1991.233063,-1788.481867,-2004.517188
0.745,-1956.416465,-1985.484837,-1796.058904,-2004.098319
0.75,-1956.876473,-1990.152232,-1797.910155,-1997.852686
0.755,-1966.723629,-1989.87922,-1814.118881,-1992.957157
0.76,-1994.320351,-2007.737242,-1828.461398,-2013.837019
