relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1813.488708,-2435.295695,-2017.021544,-2216.677973
0.005,-1835.206307,-2439.993009,-2004.204906,-2222.082128
0.01,-1819.962475,-2407.949546,-1995.09077,-2176.03274
0.015,-1851.257958,-2416.139927,-2025.38022,-2162.56162
0.02,-1852.170493,-2420.811062,-2019.4076,-2183.692055
0.025,-1877.096927,-2426.836041,-2030.331848,-2197.832617
0.03,-1873.779635,-2431.316441,-2027.99441,-2186.257626
0.035,-1879.475503,-2434.3495,-2025.350301,-2206.943013
0.04,-1889.67047,-2443.179404,-2017.010324,-2195.685914
0.045,-1905.972694,-2455.749207,-2013.569616,-2210.735272
0.05,-1905.134957,-2449.944883,-2005.091263,-2209.617042
0.055,-1920.917334,-2438.882259,-2002.024545,-2230.362267
0.06,-1926.878735,-2435.531308,-2007.537157,-2183.789292
0.065,-1931.740605,-2429.136079,-2007.985945,-2200.760958
0.07,-1930.517658,-2432.812401,-2004.242305,-2194.70606
0.075,-1944.373987,-2435.628546,-2000.356549,-2222.878727
0.08,-1948.252263,-2418.189392,-1997.469347,-2172.262921
0.085,-1948.682352,-2437.214263,-2002.521951,-2187.817165
0.09,-1949.636026,-2454.91521,-1998.408062,-2222.052209
0.095,-1958.993256,-2439.132832,-1997.794718,-2195.139889
0.1,-1954.35952,-2423.193378,-1992.050232,-2205.544291
0.105,-1944.512363,-2433.313548,-1980.486461,-2201.004052
0.11,-1959.374726,-2424.711778,-1977.707715,-2203.199373
0.115,-1935.686199,-2401.213986,-1959.251309,-2185.259073
0.12,-1962.852833,-2443.370139,-1985.307192,-2195.08005
0.125,-1964.000982,-2411.143421,-1986.395503,-2216.318942
0.13,-1969.565953,-2416.865468,-1989.140589,-2220.399173
0.135,-1972.711209,-2412.250431,-1983.915949,-2206.157634
0.14,-1957.441197,-2426.196518,-1976.488508,-2199.358496
0.145,-1980.643537,-2431.514656,-1990.730047,-2202.754325
0.15,-1964.872379,-2411.233178,-1988.553425,-2196.168361
0.155,-1970.650524,-2403.083936,-1985.692402,-2229.143059
0.16,-1975.123444,-2419.494617,-1983.650416,-2200.252332
0.165,-1986.825591,-2406.483505,-1983.841151,-2228.032309
0.17,-1980.374264,-2424.461204,-1991.182575,-2206.120235
0.175,-1973.893017,-2416.495217,-1981.668269,-2191.785199
0.18,-1974.801813,-2404.127368,-1980.359304,-2202.342936
0.185,-1975.755487,-2415.362028,-1969.794087,-2230.309908
0.19,-1983.467161,-2408.791024,-1977.89471,-2201.284544
0.195,-1989.200428,-2435.063821,-1982.348931,-2220.563729
0.2,-1985.871917,-2385.139896,-1976.806399,-2205.016965
0.205,-1987.854064,-2424.973571,-1974.012694,-2230.119173
0.21,-1990.655249,-2414.468192,-1976.380051,-2193.311078
0.215,-2002.58553,-2400.365029,-1978.900743,-2238.186137
0.22,-1989.641736,-2427.411985,-1965.859712,-2215.814056
0.225,-1991.291032,-2402.867022,-1960.541574,-2214.411593
0.23,-1989.054572,-2419.947145,-1960.044168,-2211.659027
0.235,-1987.966261,-2421.297249,-1953.069254,-2228.997203
0.24,-1977.655357,-2409.883074,-1951.808908,-2187.99294
0.245,-1978.014387,-2395.286245,-1960.601413,-2228.37264
0.25,-1993.445214,-2411.640827,-1965.92703,-2240.093486
0.255,-1985.853217,-2422.288323,-1953.675118,-2225.74349
0.26,-1982.143237,-2413.327522,-1948.843167,-2216.730331
0.265,-1982.02356,-2417.736864,-1958.174218,-2194.694841
0.27,-1989.795072,-2416.626114,-1961.420451,-2232.796941
0.275,-1987.719427,-2420.205198,-1970.42613,-2216.180566
0.28,-1986.369324,-2414.89454,-1981.847785,-2223.694025
0.285,-1987.446415,-2415.362028,-1978.235041,-2195.970147
0.29,-1984.342298,-2417.071162,-1958.361213,-2202.051224
0.295,-1987.319258,-2414.112901,-1968.668377,-2206.640081
0.3,-1988.056018,-2396.131462,-1959.083013,-2217.657826
0.305,-1981.900143,-2431.144406,-1958.151778,-2233.754356
0.31,-1999.19718,-2420.193979,-1954.905545,-2240.482436
0.315,-1988.115857,-2415.721058,-1940.088062,-2229.928438
0.32,-1993.523752,-2405.537311,-1948.536496,-2190.375256
0.325,-1987.225761,-2397.915394,-1942.593795,-2195.035172
0.33,-1983.283906,-2409.064036,-1936.965245,-2213.585075
0.335,-1995.909808,-2405.066083,-1951.098327,-2183.819212
0.34,-1985.684922,-2404.527538,-1943.293156,-2212.268631
0.345,-1983.366184,-2418.62696,-1939.433579,-2226.525129
0.35,-1979.188716,-2412.063436,-1939.755211,-2237.69621
0.355,-1982.722921,-2403.132555,-1937.567369,-2206.969192
0.36,-1983.852371,-2420.590408,-1934.740005,-2200.267292
0.365,-1986.86673,-2407.957026,-1939.186746,-2177.375364
0.37,-1990.748746,-2406.756518,-1945.480997,-2209.523544
0.375,-2000.71184,-2402.070423,-1954.097727,-2222.052209
0.38,-2014.216619,-2389.328584,-1993.890262,-2225.582674
0.385,-2032.916118,-2401.247645,-2001.628115,-2232.336934
0.39,-2014.025884,-2425.280242,-1941.180112,-2242.408484
0.395,-2035.736003,-2401.045691,-1964.950917,-2228.080928
0.4,-2057.771494,-2424.012416,-1971.241428,-2213.693533
0.405,-2079.889262,-2416.857988,-1976.952255,-2205.454533
0.41,-2083.120535,-2422.232224,-1975.527354,-2281.022951
0.415,-2107.25785,-2429.599827,-1975.332879,-2247.752801
0.42,-2119.352686,-2444.641705,-1966.069147,-2289.407807
0.425,-2115.302375,-2379.593625,-1960.193764,-2245.007715
0.43,-2074.500066,-2429.723244,-1936.329462,-2193.086684
0.435,-2102.654033,-2426.031962,-1935.802136,-2258.209562
0.44,-2122.505422,-2427.415725,-1946.427192,-2276.920281
0.445,-2124.581066,-2425.261543,-1934.710085,-2251.15611
0.45,-2142.861697,-2426.312455,-1948.641213,-2272.884929
0.455,-2141.762167,-2451.616618,-1943.566169,-2275.143829
0.46,-2150.588331,-2430.807815,-1931.067423,-2214.864121
0.465,-2163.950993,-2445.165291,-1921.250186,-2279.635449
0.47,-2165.19264,-2429.210877,-1906.50002,-2259.791539
0.475,-2191.543975,-2440.740989,-1932.585822,-2261.844744
0.48,-2171.090462,-2424.184452,-1907.023606,-2254.15925
0.485,-2186.947638,-2419.580635,-1907.513533,-2265.7679
0.49,-2191.087707,-2421.708638,-1906.182129,-2272.795172
0.495,-2213.512147,-2415.298449,-1924.739512,-2255.150324
0.5,-2207.232855,-2421.443105,-1914.032179,-2255.774887
0.505,-2203.062867,-2445.097972,-1913.60583,-2262.600204
0.51,-2194.898665,-2425.515856,-1912.513779,-2260.494641
0.515,-2196.708777,-2412.227992,-1918.808031,-2284.744152
0.52,-2207.475949,-2426.12172,-1936.527677,-2263.89795
0.525,-2201.383652,-2417.14596,-1927.989485,-2275.970347
0.53,-2199.782975,-2432.868499,-1921.919628,-2275.506599
0.535,-2176.094448,-2401.213986,-1912.532479,-2202.316757
0.54,-2185.197365,-2413.641674,-1909.85471,-2274.451947
0.545,-2184.969231,-2414.804783,-1912.682075,-2239.812994
0.55,-2174.362875,-2424.479904,-1915.46082,-2263.778273
0.555,-2171.898281,-2451.16035,-1916.302298,-2267.574271
0.56,-2165.476872,-2425.594394,-1899.734541,-2296.528577
0.565,-2164.710193,-2452.248661,-1908.579404,-2256.182536
0.57,-2168.293017,-2446.328399,-1905.864237,-2242.034494
0.575,-2168.420174,-2401.397241,-1912.779312,-2287.504198
0.58,-2163.513425,-2423.817942,-1923.161274,-2238.993956
0.585,-2150.053525,-2441.103759,-1905.75204,-2237.157665
0.59,-2170.03581,-2416.424159,-1914.058358,-2280.742459
0.595,-2161.553717,-2448.658357,-1908.295172,-2244.016641
0.6,-2147.787146,-2423.720704,-1908.863637,-2236.065614
0.605,-2139.828638,-2414.90576,-1904.925522,-2258.452655
0.61,-2155.053771,-2415.762197,-1917.465407,-2304.221551
0.615,-2161.81177,-2425.328861,-1923.789578,-2266.605637
0.62,-2162.163321,-2400.967153,-1927.316303,-2239.240789
0.625,-2150.371416,-2432.573047,-1921.612956,-2225.855687
0.63,-2145.120597,-2430.97985,-1910.662529,-2279.347476
0.635,-2152.914548,-2420.265037,-1924.159828,-2273.947061
0.64,-2145.068238,-2415.152593,-1923.871855,-2259.978534
0.645,-2140.393363,-2413.383621,-1909.686415,-2282.511432
0.65,-2137.925029,-2414.834702,-1912.12857,-2249.222582
0.655,-2131.892571,-2412.314009,-1909.821051,-2239.162251
0.66,-2130.766861,-2406.128215,-1916.051725,-2244.629985
0.665,-2122.176311,-2405.589669,-1907.876303,-2263.755833
0.67,-2140.812232,-2430.714317,-1920.33765,-2256.01798
0.675,-2141.64249,-2417.706945,-1918.168508,-2249.099165
0.68,-2127.558027,-2425.777649,-1904.330878,-2273.344937
0.685,-2108.443398,-2418.376387,-1900.250647,-2254.312586
0.69,-2120.141805,-2452.753548,-1904.297219,-2250.123898
0.695,-2110.765876,-2436.021235,-1898.193702,-2280.734979
0.7,-2106.984837,-2427.049215,-1904.113964,-2234.764129
0.705,-2110.036595,-2475.144329,-1911.586284,-2253.205576
0.71,-2103.409493,-2437.539635,-1893.638504,-2250.845699
0.715,-2119.307807,-2454.283167,-1914.106977,-2266.534579
0.72,-2093.03875,-2460.813032,-1893.148577,-2284.747892
0.725,-2098.147453,-2449.772847,-1893.159797,-2239.678357
0.73,-2098.513964,-2452.779727,-1897.89451,-2235.074541
0.735,-2089.785037,-2471.572724,-1889.950963,-2193.490593
0.74,-2092.264591,-2472.507699,-1900.026253,-2274.249993
0.745,-2095.709039,-2455.2705,-1896.357411,-2258.415256
0.75,-2096.064329,-2431.608153,-1901.956042,-2278.132009
0.755,-2091.93922,-2442.468823,-1905.37431,-2272.720374
0.76,-2099.01885,-2453.179896,-1904.458035,-2262.977934
0.765,-2081.336603,-2482.407214,-1888.110932,-2210.376241
0.77,-2082.062144,-2454.305606,-1895.747808,-2230.98683
0.775,-2074.331771,-2426.596687,-1887.411571,-2261.732547
0.78,-2074.260712,-2464.98676,-1885.795934,-2217.53067
0.785,-2080.525045,-2460.184729,-1889.431117,-2256.440589
0.79,-2065.221374,-2438.418511,-1891.708716,-2244.641205
0.795,-2066.021713,-2453.479088,-1882.856373,-2263.11631
0.8,-2081.07107,-2447.753301,-1886.816927,-2212.694979
0.805,-2059.02062,-2433.163952,-1881.203337,-2231.779689
0.81,-2078.225006,-2453.995194,-1891.454403,-2259.443729
0.815,-2072.289785,-2419.37868,-1867.204891,-2241.133178
0.82,-2065.445768,-2437.670531,-1870.346407,-2214.714525
0.825,-2074.395349,-2454.488861,-1876.449924,-2261.799866
0.83,-2069.529739,-2442.55858,-1881.296834,-2226.446591
0.835,-2061.567492,-2434.974063,-1871.258943,-2239.95137
0.84,-2071.388469,-2451.781174,-1880.115026,-2261.212701
0.845,-2062.734341,-2422.336941,-1871.045769,-2249.570393
0.85,-2076.295218,-2441.784421,-1873.031655,-2257.472801
0.855,-2062.966215,-2438.523228,-1877.239043,-2235.347553
0.86,-2055.703329,-2449.29788,-1878.727523,-2219.931686
0.865,-2064.035826,-2430.755456,-1881.45017,-2260.973348
0.87,-2049.117365,-2425.38122,-1872.429532,-2241.394971
0.875,-2053.530447,-2422.796949,-1884.80486,-2221.322928
0.88,-2049.913964,-2444.559427,-1872.792302,-2231.323421
0.885,-2056.432609,-2448.381604,-1869.583468,-2260.752694
0.89,-2049.356719,-2427.23247,-1879.849493,-2222.190585
0.895,-2047.041721,-2424.094694,-1869.755503,-2241.095779
0.9,-2048.5676,-2420.485691,-1881.09114,-2227.400266
0.905,-2039.857373,-2419.139327,-1867.818235,-2237.247422
0.91,-2044.498589,-2470.439534,-1871.74887,-2233.185891
0.915,-2059.869577,-2468.240473,-1884.932017,-2264.791786
0.92,-2035.133879,-2429.012663,-1882.011155,-2248.829893
0.925,-2032.86002,-2424.603321,-1879.247369,-2220.219658
0.93,-2025.563475,-2450.479688,-1864.953472,-2234.004929
0.935,-2028.226284,-2425.493417,-1854.90436,-2235.82626
0.94,-2037.048708,-2426.806122,-1867.320828,-2241.346353
0.945,-2033.869793,-2449.331539,-1868.801829,-2228.593294
0.95,-2031.917565,-2434.917965,-1877.833687,-2209.089716
0.955,-2020.862421,-2423.780543,-1877.844907,-2178.833925
0.96,-2045.040874,-2440.108946,-1877.620513,-2270.727007
0.965,-2026.244137,-2447.626145,-1865.76503,-2263.258427
0.97,-2031.177065,-2429.532509,-1870.428685,-2228.892486
0.975,-2022.893187,-2399.403875,-1860.671286,-2245.310647
0.98,-2029.580128,-2434.652432,-1877.485876,-2220.623567
0.985,-2023.465391,-2427.348407,-1870.211771,-2248.003375
0.99,-2031.3491,-2438.10062,-1868.981344,-2236.675218
0.995,-2041.47301,-2430.271139,-1872.87084,-2220.88536
1,-2028.308562,-2393.163852,-1865.682752,-2219.516557
1.005,-2036.113733,-2422.226614,-1876.064714,-2230.672678
1.01,-2024.609801,-2421.179442,-1875.406492,-2246.260581
1.015,-2022.317242,-2411.620258,-1869.299235,-2221.120974
1.02,-2018.225791,-2407.558727,-1861.987731,-2207.04399
1.025,-2017.17114,-2398.500689,-1861.853094,-2223.103121
1.03,-2029.740943,-2429.452101,-1889.453556,-2223.776303
1.035,-2032.601967,-2369.30703,-1881.308054,-2202.443913
1.04,-2002.256419,-2424.335918,-1870.481044,-2239.113633
1.045,-2027.283829,-2418.307199,-1876.300328,-2250.239835
1.05,-2032.717904,-2420.536179,-1868.988824,-2258.721928
1.055,-2031.898866,-2420.431462,-1873.173772,-2253.190616
1.06,-2015.963152,-2424.777226,-1855.753318,-2251.18229
1.065,-2024.897773,-2404.783721,-1872.227577,-2252.2893
1.07,-2025.062329,-2409.884944,-1865.791209,-2265.827738
1.075,-2023.51027,-2430.375856,-1858.547023,-2274.949354
1.08,-2045.852432,-2409.103305,-1865.204045,-2256.077819
1.085,-2016.367061,-2407.43157,-1871.37862,-2240.845206
1.09,-1954.539035,-2417.450762,-1834.970694,-2263.378103
1.095,-1945.267823,-2427.391416,-1829.813372,-2268.067938
1.1,-1926.377588,-2411.018134,-1814.756534,-2257.921589
1.105,-1844.683214,-2396.742936,-1771.029624,-2236.514402
1.11,-1824.865484,-2418.299719,-1758.800151,-2259.537226
1.115,-1823.661236,-2401.773101,-1738.574772,-2262.409469
1.12,-1716.917012,-2406.403097,-1698.27361,-2233.129793
1.125,-1686.908054,-2382.344321,-1664.663129,-2228.959804
1.13,-1667.411956,-2378.914833,-1623.430732,-2231.293502
