relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1551.970594,-1474.040429,-1426.687685,-1398.993726
0.005,-1554.614703,-1474.698651,-1427.895673,-1388.619244
0.01,-1564.577797,-1499.41191,-1446.176304,-1420.255057
0.015,-1575.778797,-1487.795781,-1432.293795,-1400.534565
0.02,-1583.112741,-1483.962383,-1424.993511,-1403.481606
0.025,-1573.878928,-1479.309948,-1425.371241,-1404.050071
0.03,-1571.971579,-1473.917012,-1419.944646,-1409.738459
0.035,-1558.4855,-1487.343253,-1427.431925,-1428.359421
0.04,-1571.029124,-1491.232749,-1428.37064,-1407.371102
0.045,-1521.797081,-1475.592487,-1384.63251,-1388.712741
0.05,-1562.614349,-1473.97311,-1383.297366,-1401.585477
0.055,-1547.123684,-1484.800121,-1412.947293,-1403.055258
0.06,-1554.711941,-1481.307054,-1406.282791,-1408.074203
0.065,-1566.503845,-1482.395365,-1409.061537,-1397.078897
0.07,-1570.44944,-1483.532295,-1408.743645,-1406.503445
0.075,-1571.646208,-1472.450971,-1406.376289,-1405.916281
0.08,-1573.856489,-1481.441691,-1408.803484,-1401.050671
0.085,-1571.414334,-1476.493803,-1407.498259,-1410.157328
0.09,-1562.416135,-1469.922799,-1400.153095,-1392.475081
0.095,-1569.667801,-1482.810494,-1406.783938,-1394.068278
0.1,-1564.794711,-1488.21091,-1410.041391,-1394.692841
0.105,-1562.94346,-1479.97939,-1413.568116,-1409.461706
0.11,-1570.82717,-1487.638705,-1414.293657,-1407.352403
0.115,-1565.767085,-1471.860067,-1404.981306,-1390.661229
0.12,-1580.120821,-1484.972156,-1417.049963,-1396.521652
0.125,-1572.891594,-1483.147085,-1419.712772,-1406.193034
0.13,-1564.910648,-1480.312241,-1417.53241,-1406.279051
0.135,-1578.29201,-1489.381498,-1424.376427,-1408.799744
0.14,-1577.271017,-1486.052987,-1421.889394,-1402.097843
0.145,-1581.347508,-1479.695157,-1416.451579,-1400.227893
0.15,-1589.545369,-1492.68383,-1427.551602,-1409.091456
0.155,-1577.267277,-1487.926677,-1422.095088,-1403.571364
0.16,-1552.610117,-1479.98687,-1411.787924,-1399.801545
0.165,-1573.093549,-1492.347239,-1411.95248,-1398.47014
0.17,-1573.531117,-1480.267362,-1408.350956,-1399.176981
0.175,-1576.021891,-1492.983022,-1418.373888,-1398.010132
0.18,-1578.138674,-1494.478982,-1417.55859,-1408.721206
0.185,-1567.008732,-1485.046954,-1416.485238,-1413.138028
0.19,-1572.857935,-1487.107639,-1414.92944,-1396.633849
0.195,-1575.980752,-1485.540621,-1415.557743,-1399.251779
0.2,-1574.772764,-1495.67575,-1417.498751,-1398.814211
0.205,-1575.913433,-1489.071087,-1411.458813,-1398.896489
0.21,-1558.945507,-1481.0864,-1410.995065,-1402.183861
0.215,-1563.870956,-1478.797581,-1405.927501,-1393.971041
0.22,-1565.95408,-1488.308147,-1412.580783,-1394.075758
0.225,-1568.149401,-1489.774188,-1413.452179,-1394.139336
0.23,-1567.723053,-1485.548101,-1417.098582,-1399.457474
0.235,-1561.256766,-1481.669825,-1413.497058,-1400.758959
0.24,-1536.996035,-1484.755242,-1402.59525,-1403.358189
0.245,-1564.749832,-1490.409971,-1409.880575,-1402.086623
0.25,-1568.437373,-1489.70313,-1403.077697,-1406.611902
0.255,-1566.889055,-1487.949117,-1408.19388,-1399.356496
0.26,-1560.265692,-1489.145885,-1400.283992,-1389.935688
0.265,-1553.118743,-1487.679844,-1413.826169,-1402.935581
0.27,-1561.907508,-1495.597212,-1411.993618,-1401.4845
0.275,-1563.799898,-1486.958043,-1407.225246,-1403.062737
0.28,-1572.899074,-1488.596119,-1406.211733,-1399.162022
0.285,-1559.454134,-1493.319613,-1407.610456,-1406.581983
0.29,-1554.768039,-1478.019682,-1409.663661,-1412.027278
0.295,-1580.019844,-1482.372926,-1419.985785,-1402.138982
0.3,-1580.741644,-1488.439043,-1425.472218,-1399.21812
0.305,-1547.392956,-1500.89291,-1405.482453,-1409.360729
0.31,-1535.627231,-1492.3248,-1394.610563,-1400.72156
0.315,-1506.325115,-1484.052141,-1385.174796,-1392.071171
0.32,-1509.167439,-1478.775142,-1386.674496,-1377.459382
0.325,-1500.498351,-1486.875765,-1384.25852,-1386.708155
0.33,-1506.87862,-1492.227562,-1387.426216,-1389.232587
0.335,-1485.909001,-1489.561013,-1381.790186,-1371.692456
0.34,-1474.109617,-1489.041167,-1369.575673,-1372.361899
0.345,-1468.630663,-1482.294388,-1370.016981,-1372.949063
0.35,-1465.844438,-1479.246369,-1368.655658,-1367.268155
0.355,-1466.379244,-1483.737989,-1362.522222,-1374.16453
0.36,-1466.382983,-1480.461837,-1371.707416,-1373.558667
0.365,-1465.679882,-1479.093033,-1362.529702,-1380.413903
0.37,-1484.188647,-1488.237089,-1368.999729,-1375.103245
0.375,-1494.985738,-1472.379913,-1380.705615,-1381.767747
0.38,-1496.152587,-1484.392472,-1388.895996,-1381.034727
0.385,-1487.345123,-1487.021621,-1382.523207,-1378.532734
0.39,-1491.687147,-1481.82316,-1388.525746,-1375.634311
0.395,-1494.578089,-1485.364846,-1385.631064,-1376.43465
0.4,-1483.754819,-1484.542068,-1378.899244,-1373.898997
0.405,-1487.599436,-1487.0665,-1384.359498,-1371.531641
0.41,-1489.847116,-1486.157704,-1392.88273,-1364.152818
0.415,-1488.841083,-1485.794934,-1382.141737,-1361.576027
0.42,-1479.861583,-1484.736543,-1390.679929,-1362.174411
0.425,-1498.433926,-1491.756335,-1391.7458,-1366.598713
0.43,-1521.363253,-1495.997381,-1405.452533,-1377.840852
0.435,-1506.186739,-1499.000521,-1398.784292,-1387.306539
0.44,-1505.517297,-1488.341806,-1398.664615,-1384.63251
0.445,-1495.722499,-1488.349286,-1399.711787,-1368.034834
0.45,-1517.877666,-1491.509501,-1401.319944,-1389.673895
0.455,-1495.801037,-1484.156858,-1394.74146,-1386.266847
0.46,-1508.871987,-1475.633626,-1385.862937,-1377.825892
0.465,-1519.093133,-1507.291879,-1413.257705,-1393.013626
0.47,-1499.746631,-1494.980128,-1409.151294,-1390.204961
0.475,-1504.197112,-1483.558474,-1395.567978,-1373.289394
0.48,-1519.452164,-1499.318412,-1408.893241,-1385.664723
0.485,-1496.990325,-1496.184376,-1393.522253,-1377.223769
0.49,-1487.371302,-1497.594319,-1398.204607,-1369.70283
0.495,-1511.258043,-1499.655003,-1400.856196,-1374.381445
0.5,-1524.052241,-1496.767801,-1407.131748,-1377.90069
0.505,-1509.851841,-1502.104638,-1403.964053,-1381.113264
0.51,-1496.919267,-1500.402983,-1407.894688,-1351.930825
0.515,-1494.92964,-1492.380898,-1388.7651,-1358.11662
0.52,-1500.962098,-1493.229855,-1390.586431,-1365.828293
0.525,-1483.672541,-1506.648616,-1398.541198,-1385.623584
0.53,-1516.811794,-1501.300559,-1407.730132,-1376.539367
0.535,-1517.148385,-1494.879151,-1411.997358,-1374.822753
0.54,-1488.631648,-1488.326846,-1394.423568,-1368.367685
0.545,-1504.025077,-1486.094126,-1407.386062,-1379.516327
0.55,-1511.658212,-1488.259528,-1410.733272,-1360.521375
0.555,-1497.958959,-1489.725569,-1396.532872,-1367.017582
0.56,-1503.037743,-1503.649217,-1390.2461,-1392.942568
0.565,-1513.015796,-1498.387177,-1381.539613,-1388.435989
0.57,-1494.256458,-1495.140944,-1371.580259,-1382.77752
0.575,-1492.958713,-1497.14927,-1375.888624,-1390.444315
0.58,-1481.350063,-1491.849832,-1356.347647,-1379.187216
0.585,-1494.406054,-1485.910871,-1366.142445,-1376.079359
0.59,-1494.888501,-1487.313334,-1351.665292,-1373.03882
0.595,-1501.317389,-1484.658005,-1372.361899,-1392.471341
0.6,-1543.484761,-1491.472102,-1376.707662,-1404.614796
0.605,-1544.023307,-1508.178235,-1387.471094,-1419.738951
0.61,-1532.934503,-1501.876504,-1383.89949,-1399.337797
0.615,-1527.305954,-1492.867085,-1377.380844,-1404.08373
0.62,-1551.993033,-1494.680936,-1393.279159,-1409.888055
0.625,-1560.606023,-1506.532679,-1399.577151,-1419.189186
0.63,-1537.373764,-1486.636412,-1378.618751,-1397.127516
0.635,-1526.68139,-1478.034642,-1374.306647,-1384.954142
0.64,-1536.457489,-1480.282322,-1385.159836,-1387.366377
0.645,-1524.661844,-1476.198351,-1375.058366,-1378.64867
0.65,-1502.308462,-1469.702145,-1367.967516,-1382.856058
0.655,-1525.727716,-1478.644245,-1374.860152,-1387.310279
0.66,-1543.656796,-1487.44423,-1384.079005,-1397.292072
0.665,-1525.652918,-1477.092187,-1383.499321,-1397.269632
0.67,-1516.127393,-1470.61842,-1365.5852,-1389.542999
0.675,-1530.256735,-1488.917751,-1378.428016,-1380.728055
0.68,-1534.497781,-1472.069501,-1379.557466,-1384.25478
0.685,-1521.916758,-1471.265423,-1381.457335,-1398.642176
0.69,-1542.546046,-1473.722537,-1395.953188,-1390.792126
0.695,-1573.617135,-1486.019328,-1411.507431,-1406.507185
