relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1627.759667,-1757.221913,-1576.990525,-1794.519936
0.005,-1636.473633,-1759.342437,-1607.422091,-1803.682691
0.01,-1654.608408,-1765.157981,-1615.429216,-1806.248262
0.015,-1654.754264,-1766.489385,-1607.44827,-1814.737835
0.02,-1694.943229,-1781.146053,-1629.038712,-1825.273133
0.025,-1708.294672,-1813.563506,-1641.399082,-1829.574018
0.03,-1719.940721,-1778.718858,-1656.680313,-1821.462175
0.035,-1739.825769,-1790.069455,-1665.805669,-1837.727
0.04,-1754.774149,-1763.071117,-1688.398404,-1837.659682
0.045,-1771.334426,-1795.563368,-1720.587723,-1843.71084
0.05,-1806.115495,-1772.966892,-1734.380474,-1853.621575
0.055,-1763.274941,-1780.734664,-1665.536396,-1832.169508
0.06,-1762.994449,-1779.971725,-1661.014857,-1826.87381
0.065,-1778.915203,-1783.232918,-1677.388139,-1827.831225
0.07,-1791.660782,-1788.307962,-1697.53124,-1839.297758
0.075,-1798.343983,-1794.519936,-1717.816457,-1838.370263
0.08,-1813.748631,-1810.148978,-1742.731671,-1853.632794
0.085,-1809.264491,-1802.95715,-1710.475034,-1849.287031
0.09,-1796.571271,-1772.480705,-1687.665384,-1848.161321
0.095,-1794.387169,-1771.815003,-1697.235788,-1823.354564
0.1,-1794.705061,-1783.285276,-1686.049747,-1819.169616
0.105,-1789.203668,-1755.568878,-1702.823199,-1814.322706
0.11,-1806.938273,-1779.171386,-1703.709555,-1818.66847
0.115,-1817.327716,-1778.827315,-1729.260551,-1817.800813
0.12,-1822.290563,-1809.415957,-1728.9277,-1827.165522
0.125,-1841.203237,-1789.8862,-1743.906,-1834.491986
0.13,-1850.257535,-1788.334141,-1731.893441,-1842.876842
0.135,-1852.232202,-1793.480243,-1742.503537,-1858.382467
0.14,-1857.804653,-1789.220497,-1735.072356,-1845.973479
0.145,-1864.551432,-1787.305669,-1733.05281,-1842.278458
0.15,-1858.186123,-1816.312333,-1770.141398,-1842.308377
0.155,-1891.725545,-1790.899712,-1776.173856,-1877.3475
0.16,-1881.392202,-1784.669039,-1737.204099,-1856.112348
0.165,-1881.590416,-1812.531294,-1776.959235,-1852.417327
0.17,-1860.845191,-1788.079828,-1741.561082,-1863.094741
0.175,-1844.980536,-1773.195026,-1715.643576,-1840.991932
0.18,-1838.566607,-1774.006584,-1720.400728,-1813.937496
0.185,-1850.945676,-1787.518843,-1728.437773,-1830.778266
0.19,-1833.338227,-1774.17862,-1713.373456,-1818.631071
0.195,-1842.126992,-1780.16994,-1705.886177,-1825.36663
0.2,-1850.452009,-1776.011171,-1722.042544,-1840.056957
0.205,-1848.140751,-1766.829716,-1725.883422,-1828.287492
0.21,-1850.844699,-1803.390978,-1735.954972,-1836.657388
0.215,-1847.841559,-1772.873395,-1727.465399,-1835.232487
0.22,-1852.007808,-1783.423652,-1730.315203,-1834.611663
0.225,-1851.861952,-1797.975603,-1703.174749,-1846.799997
0.23,-1857.325946,-1775.790517,-1722.558651,-1836.709747
0.235,-1878.83411,-1792.021682,-1729.956173,-1863.281736
0.24,-1855.702829,-1806.554934,-1730.131948,-1857.297896
0.245,-1861.181782,-1779.111548,-1711.118297,-1851.800243
0.25,-1851.368285,-1788.981144,-1728.867862,-1854.133941
0.255,-1853.43271,-1778.614141,-1726.661321,-1862.088708
0.26,-1863.781013,-1789.845061,-1734.971379,-1857.353995
0.265,-1868.964514,-1792.986577,-1722.352956,-1866.913179
0.27,-1858.369378,-1785.360921,-1736.673033,-1866.617727
0.275,-1871.545045,-1823.788393,-1752.892979,-1861.542683
0.28,-1898.079635,-1817.767154,-1735.162113,-1882.474903
0.285,-1877.214734,-1775.005138,-1728.583629,-1867.788316
0.29,-1870.041605,-1774.978958,-1701.600251,-1870.387546
0.295,-1844.09418,-1785.173926,-1711.806438,-1843.804337
0.3,-1869.020613,-1793.102514,-1724.937227,-1859.197765
0.305,-1853.642144,-1795.196858,-1722.611009,-1853.41214
0.31,-1853.653364,-1805.260928,-1708.504107,-1850.491278
0.315,-1851.54032,-1801.85014,-1700.175349,-1854.055403
0.32,-1806.859736,-1783.50219,-1660.416473,-1827.101944
0.325,-1810.82029,-1806.139805,-1667.361467,-1852.828716
0.33,-1804.002452,-1775.248231,-1660.936319,-1848.034164
0.335,-1809.021398,-1782.241844,-1658.625061,-1842.9479
0.34,-1797.865276,-1782.810309,-1650.80119,-1855.66356
0.345,-1787.030786,-1776.138327,-1639.095303,-1842.087723
0.35,-1799.163021,-1775.480105,-1638.526839,-1847.630255
0.355,-1772.336719,-1788.584714,-1602.833233,-1841.253725
0.36,-1770.219936,-1780.865561,-1614.774734,-1842.065284
0.365,-1751.939305,-1774.956519,-1575.775057,-1826.88129
0.37,-1757.369639,-1782.02119,-1598.386492,-1841.979266
0.375,-1777.479081,-1795.668085,-1595.626446,-1850.450139
0.38,-1763.69007,-1780.121321,-1591.131086,-1855.685999
0.385,-1772.232002,-1779.41074,-1614.329686,-1868.637273
0.39,-1780.687916,-1786.157519,-1602.496642,-1868.629793
0.395,-1776.368331,-1793.775696,-1602.833233,-1876.079674
0.4,-1808.737165,-1794.71815,-1605.095873,-1873.435565
0.405,-1800.875896,-1794.389039,-1631.219074,-1881.427731
0.41,-1796.283298,-1802.983329,-1638.051871,-1888.18947
0.415,-1783.713495,-1796.345007,-1632.449501,-1895.411217
0.42,-1806.934534,-1795.260436,-1628.604884,-1870.671779
0.425,-1822.802929,-1788.75675,-1659.388,-1863.779143
0.43,-1836.341367,-1813.170817,-1651.17518,-1878.749962
0.435,-1840.612333,-1795.301575,-1640.505246,-1866.243737
0.44,-1825.907046,-1795.660605,-1659.758251,-1864.411186
0.445,-1848.077173,-1799.617419,-1676.883252,-1873.162552
0.45,-1865.632263,-1797.762429,-1688.57044,-1870.073395
0.455,-1874.34623,-1808.297727,-1691.745615,-1882.246769
0.46,-1897.840282,-1802.934711,-1714.278512,-1903.631517
