relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1398.055011,-1462.355111,-1275.393773,-1676.486823
0.005,-1392.703214,-1469.838651,-1280.760529,-1676.322267
0.01,-1367.8254,-1461.917543,-1275.666785,-1685.481282
0.015,-1357.177905,-1467.25812,-1281.792741,-1682.433264
0.02,-1368.58086,-1457.100552,-1279.788155,-1670.046715
0.025,-1366.179844,-1458.072926,-1275.165639,-1677.376919
0.03,-1363.498336,-1471.607624,-1273.011456,-1674.040929
0.035,-1357.649132,-1474.633203,-1269.391233,-1673.876373
0.04,-1355.420152,-1462.78894,-1265.423199,-1665.431679
0.045,-1366.007809,-1466.86917,-1255.467586,-1657.708785
0.05,-1372.739628,-1481.271525,-1262.04607,-1667.967331
0.055,-1382.194096,-1492.188293,-1272.951618,-1687.766361
0.06,-1360.128686,-1478.919128,-1260.224738,-1670.072895
0.065,-1349.473711,-1487.165608,-1262.988524,-1675.181598
0.07,-1364.983076,-1487.524638,-1260.808163,-1668.01595
0.075,-1382.676543,-1499.881267,-1276.111833,-1666.759343
0.08,-1390.571471,-1508.00807,-1287.413811,-1688.540521
0.085,-1347.360667,-1508.213764,-1264.521883,-1665.465338
0.09,-1352.996697,-1499.675573,-1261.137274,-1658.969132
0.095,-1372.863045,-1503.725885,-1277.656412,-1645.471833
0.1,-1358.812241,-1501.908293,-1267.424046,-1652.615042
0.105,-1341.032757,-1503.426693,-1263.54203,-1648.246839
0.11,-1362.540921,-1518.808901,-1268.037389,-1663.696365
0.115,-1370.162837,-1498.729378,-1271.35842,-1660.54363
0.12,-1352.230017,-1508.670032,-1268.628294,-1652.177473
0.125,-1358.954357,-1511.901306,-1278.1052,-1655.176873
0.13,-1327.901968,-1503.209778,-1263.803823,-1649.163114
0.135,-1345.00827,-1505.322822,-1263.568209,-1644.054411
0.14,-1351.624153,-1512.49969,-1282.637959,-1650.4272
0.145,-1360.308201,-1501.171533,-1271.556635,-1645.21752
0.15,-1380.002514,-1518.790202,-1273.449025,-1674.863707
0.155,-1386.397743,-1519.063214,-1271.3659,-1678.409132
0.16,-1366.280821,-1510.285669,-1261.092395,-1653.79685
0.165,-1357.260183,-1511.983584,-1259.667493,-1666.220798
0.17,-1346.485531,-1506.287716,-1257.741445,-1657.993018
0.175,-1347.596281,-1508.726131,-1260.868001,-1661.553403
0.18,-1373.7868,-1506.220398,-1275.150679,-1672.739443
0.185,-1371.292287,-1517.443838,-1287.275435,-1683.630032
0.19,-1372.485315,-1514.216304,-1289.354819,-1677.653672
0.195,-1370.091779,-1510.397866,-1279.769455,-1682.242529
0.2,-1360.394219,-1505.37892,-1280.947524,-1677.347
0.205,-1360.783168,-1501.395927,-1288.756435,-1665.00533
0.21,-1361.448871,-1499.181906,-1264.574242,-1668.419859
0.215,-1346.534149,-1506.022183,-1258.538043,-1666.819182
0.22,-1324.292964,-1508.468078,-1261.066216,-1661.055996
0.225,-1343.822722,-1508.490517,-1264.551803,-1655.640621
0.23,-1356.860013,-1501.167793,-1282.151772,-1664.036696
0.235,-1355.47999,-1511.908786,-1292.047547,-1677.436758
0.24,-1342.195866,-1512.914819,-1281.392572,-1679.302968
0.245,-1347.592541,-1500.015904,-1275.393773,-1673.513603
0.25,-1350.333888,-1507.091794,-1281.179398,-1674.418658
0.255,-1352.405792,-1494.495811,-1277.256243,-1666.15348
0.26,-1335.950233,-1493.650594,-1268.964885,-1654.974919
0.265,-1339.78363,-1496.642514,-1265.097828,-1665.843068
0.27,-1341.683499,-1488.089363,-1260.280837,-1660.438912
0.275,-1337.023584,-1504.481344,-1274.470017,-1664.979151
0.28,-1335.419167,-1485.482653,-1284.021722,-1662.350001
0.285,-1339.076789,-1492.483745,-1274.268063,-1659.582475
0.29,-1338.044577,-1500.356235,-1274.922545,-1657.772364
0.295,-1328.074003,-1481.402422,-1273.24333,-1641.152248
0.3,-1330.086069,-1491.526331,-1271.137766,-1662.151787
0.305,-1329.517605,-1491.825523,-1265.438159,-1673.341567
0.31,-1351.76627,-1495.741198,-1296.225015,-1675.189078
0.315,-1345.513157,-1490.198666,-1284.507909,-1680.122006
0.32,-1347.61872,-1497.820583,-1276.048255,-1699.251594
0.325,-1356.160652,-1491.896581,-1271.665092,-1683.222383
0.33,-1351.227724,-1482.655288,-1272.327055,-1678.988816
0.335,-1338.818736,-1481.439821,-1262.521037,-1674.557035
0.34,-1336.44016,-1478.268386,-1268.785369,-1657.076742
0.345,-1332.266431,-1470.98306,-1265.857028,-1652.585122
0.35,-1323.795558,-1467.837805,-1258.646501,-1644.117989
0.355,-1331.421214,-1487.505938,-1267.285669,-1659.301983
0.36,-1337.382614,-1470.956881,-1262.087208,-1651.758605
0.365,-1318.548478,-1477.277312,-1275.988417,-1662.75391
0.37,-1345.685192,-1494.342476,-1283.546754,-1683.282221
0.375,-1353.98403,-1490.482899,-1292.657151,-1675.873479
0.38,-1354.189725,-1480.36273,-1289.639051,-1663.696365
0.385,-1357.334981,-1473.361637,-1283.142845,-1661.994711
0.39,-1369.145585,-1476.297458,-1276.055735,-1676.146492
0.395,-1348.665892,-1477.382029,-1273.748217,-1663.550509
0.4,-1338.130594,-1479.726947,-1273.740737,-1668.621813
0.405,-1348.187185,-1475.022152,-1266.683546,-1675.009563
0.41,-1346.751064,-1484.772072,-1263.736504,-1682.97181
0.415,-1322.860583,-1483.455627,-1271.444438,-1677.096427
0.42,-1300.974688,-1468.327731,-1256.971025,-1654.713126
0.425,-1328.844423,-1473.582291,-1265.819629,-1643.209193
0.43,-1344.417366,-1475.220367,-1272.551449,-1657.592849
0.435,-1336.78049,-1492.767978,-1272.169979,-1669.642806
0.44,-1325.362576,-1482.932041,-1269.619367,-1659.833049
0.445,-1326.099336,-1473.425215,-1271.160206,-1656.280144
0.45,-1327.408301,-1476.899582,-1268.160806,-1663.976858
0.455,-1307.216581,-1474.476127,-1264.828555,-1668.614334
0.46,-1314.666462,-1475.598097,-1258.119175,-1678.379212
0.465,-1346.50423,-1474.225554,-1261.66086,-1687.354972
0.47,-1347.884253,-1480.665661,-1266.477851,-1685.825353
0.475,-1339.974365,-1471.491687,-1265.172626,-1682.57912
0.48,-1326.174134,-1467.27682,-1260.90166,-1669.49695
0.485,-1318.600837,-1454.351725,-1250.717913,-1652.828216
0.49,-1328.272218,-1472.527639,-1261.342968,-1663.023183
0.495,-1334.005485,-1472.142429,-1279.728317,-1668.259043
0.5,-1337.427493,-1470.758666,-1260.628648,-1660.038743
0.505,-1337.17318,-1483.979213,-1283.71131,-1682.657658
0.51,-1338.040837,-1475.081991,-1281.299075,-1668.689132
0.515,-1342.315542,-1472.168609,-1266.13752,-1675.230217
0.52,-1342.682053,-1469.012133,-1271.276143,-1668.868647
0.525,-1344.394927,-1473.859043,-1291.890471,-1676.086654
0.53,-1346.190079,-1469.554419,-1288.494642,-1673.345307
0.535,-1335.995111,-1457.53812,-1268.979844,-1661.710478
0.54,-1339.338582,-1461.876404,-1270.831095,-1668.73775
0.545,-1338.642961,-1451.707616,-1267.547462,-1673.034895
0.55,-1346.990417,-1467.097304,-1292.283161,-1676.052995
0.555,-1336.881468,-1460.036373,-1282.791295,-1675.349894
0.56,-1345.509417,-1471.532826,-1283.801068,-1682.635219
0.565,-1345.640313,-1472.292025,-1296.03802,-1683.285961
0.57,-1344.63054,-1465.77338,-1289.003268,-1675.11428
0.575,-1338.556943,-1465.343291,-1273.972611,-1673.450024
0.58,-1339.850948,-1464.094165,-1279.99011,-1683.977843
0.585,-1331.144461,-1469.539459,-1284.317174,-1669.50069
0.59,-1334.143861,-1466.304446,-1289.167824,-1662.4061
0.595,-1327.483099,-1462.755281,-1270.113034,-1658.531563
0.6,-1326.132995,-1464.25498,-1271.489317,-1664.717358
0.605,-1345.112988,-1471.775919,-1286.800467,-1674.149386
0.61,-1332.617982,-1463.394803,-1288.674157,-1667.129593
0.615,-1354.627293,-1458.697489,-1288.363746,-1678.693364
0.62,-1350.431125,-1468.342691,-1279.470263,-1673.547262
0.625,-1343.953619,-1461.251841,-1290.985415,-1681.195357
0.63,-1351.654073,-1462.276573,-1305.193295,-1682.825954
0.635,-1344.802576,-1461.180783,-1278.812041,-1669.897119
0.64,-1331.514711,-1458.424476,-1267.382907,-1668.348801
0.645,-1326.192834,-1448.981229,-1265.995404,-1662.78383
0.65,-1350.894873,-1471.805838,-1299.359051,-1671.00039
0.655,-1350.947231,-1476.61161,-1299.089779,-1677.71725
0.66,-1343.16824,-1469.790032,-1280.240683,-1671.277142
0.665,-1341.724638,-1472.531379,-1289.3062,-1681.760082
0.67,-1349.380213,-1470.354757,-1298.195943,-1688.55548
0.675,-1357.334981,-1478.073911,-1305.668263,-1691.94383
0.68,-1349.339074,-1475.197928,-1295.806146,-1690.234695
0.685,-1335.198513,-1461.966162,-1280.031248,-1673.98857
0.69,-1330.938767,-1453.588786,-1276.182891,-1663.786123
0.695,-1328.406854,-1443.33772,-1270.827355,-1660.999897
0.7,-1335.66974,-1454.063753,-1276.945831,-1655.29281
0.705,-1343.291656,-1451.116712,-1285.626139,-1654.006284
0.71,-1356.658059,-1454.325546,-1288.019675,-1666.677066
0.715,-1339.02817,-1453.585046,-1288.913511,-1678.84296
0.72,-1345.40844,-1454.856612,-1283.438297,-1682.713757
0.725,-1347.715958,-1449.867585,-1271.272403,-1667.342768
0.73,-1348.505077,-1449.250502,-1271.306062,-1659.096288
0.735,-1329.169794,-1453.386831,-1275.173118,-1663.801082
0.74,-1328.788324,-1455.612072,-1276.99445,-1659.642314
0.745,-1324.775412,-1451.93201,-1274.440098,-1661.882514
0.75,-1323.829217,-1455.256781,-1277.854627,-1666.957558
0.755,-1313.286439,-1449.553434,-1270.25889,-1657.820982
0.76,-1324.360283,-1451.954449,-1275.173118,-1670.428185
0.765,-1334.693626,-1463.802453,-1279.144892,-1672.451471
0.77,-1327.045531,-1459.939136,-1276.007116,-1680.013549
0.775,-1328.747185,-1454.665877,-1276.900952,-1670.880713
0.78,-1329.798097,-1453.8057,-1272.805762,-1669.844761
0.785,-1330.605916,-1446.546554,-1270.943292,-1665.091348
0.79,-1331.402514,-1447.739582,-1270.060675,-1661.142014
0.795,-1321.742353,-1441.09378,-1266.036543,-1659.930286
0.8,-1329.32687,-1444.523268,-1277.207624,-1668.060828
0.805,-1329.341829,-1445.043114,-1265.898167,-1669.553049
0.81,-1343.721745,-1445.798574,-1279.518882,-1669.88964
0.815,-1360.517635,-1448.768055,-1284.358313,-1679.613379
0.82,-1333.837189,-1457.758774,-1270.576781,-1680.181844
0.825,-1314.344831,-1451.670217,-1259.222445,-1671.422999
0.83,-1337.004884,-1455.967362,-1268.901306,-1676.172671
0.835,-1340.737305,-1460.690856,-1268.76667,-1676.258689
0.84,-1342.79051,-1460.387924,-1280.386539,-1678.184738
0.845,-1324.307924,-1446.71111,-1272.547709,-1663.120421
0.85,-1326.282591,-1448.854072,-1256.937366,-1649.454826
0.855,-1317.220814,-1439.732456,-1250.766531,-1650.266384
0.86,-1314.73378,-1432.809902,-1248.473973,-1642.790324
0.865,-1308.233834,-1437.178105,-1253.747232,-1643.826277
0.87,-1317.303091,-1444.224076,-1266.735904,-1655.378828
0.875,-1336.982445,-1447.002822,-1275.958497,-1653.314403
0.88,-1322.901722,-1446.127685,-1252.449486,-1646.668601
0.885,-1308.095458,-1430.506123,-1238.952187,-1631.948355
0.89,-1306.307786,-1427.667539,-1240.7062,-1628.814318
0.895,-1312.153249,-1433.958051,-1246.727439,-1645.987939
0.9,-1308.671402,-1441.46777,-1252.928194,-1650.629155
0.905,-1312.396343,-1443.491056,-1252.68884,-1637.210394
0.91,-1299.183276,-1436.145892,-1245.676527,-1625.313772
0.915,-1307.777566,-1440.906785,-1261.65712,-1640.864276
0.92,-1291.479082,-1429.758143,-1246.951833,-1623.832772
0.925,-1307.669109,-1439.141552,-1251.050764,-1630.100844
0.93,-1306.640637,-1441.329394,-1253.743492,-1639.405715
0.935,-1328.825723,-1466.715835,-1291.002245,-1658.228632
0.94,-1340.378274,-1469.442222,-1298.706439,-1669.639066
0.945,-1339.222645,-1465.451748,-1292.617882,-1675.222737
0.95,-1331.510971,-1452.620152,-1286.188994,-1678.648485
0.955,-1340.883161,-1453.528947,-1296.024931,-1669.175319
0.96,-1338.067016,-1465.268493,-1294.708486,-1671.770809
0.965,-1339.604115,-1468.454888,-1289.162214,-1671.639913
0.97,-1335.778197,-1460.694596,-1298.440906,-1673.98857
0.975,-1326.073157,-1463.342445,-1295.336789,-1661.149493
0.98,-1345.03819,-1472.456581,-1297.217959,-1664.721098
0.985,-1344.746477,-1469.51328,-1309.795242,-1661.676819
0.99,-1331.611949,-1465.608824,-1315.726724,-1658.692379
0.995,-1328.743445,-1465.885577,-1309.49605,-1653.164807
1,-1342.005131,-1467.071125,-1289.637182,-1662.338782
1.005,-1341.103815,-1456.483468,-1281.962907,-1664.27231
1.01,-1339.230125,-1454.54246,-1298.212772,-1667.660659
1.015,-1363.199144,-1482.924561,-1319.167432,-1693.709062
1.02,-1354.559975,-1468.634403,-1305.01939,-1684.400451
1.025,-1355.85398,-1470.713788,-1311.048109,-1683.091486
1.03,-1362.017335,-1479.704507,-1322.282768,-1687.889778
1.035,-1366.901645,-1477.557805,-1315.053542,-1694.91705
1.04,-1355.711864,-1483.728639,-1312.85822,-1674.549555
1.045,-1336.739352,-1480.747939,-1289.053757,-1665.495257
1.05,-1327.180167,-1461.532333,-1279.053265,-1648.415134
1.055,-1346.175119,-1471.577705,-1295.460206,-1667.716758
1.06,-1360.869186,-1474.483607,-1313.071395,-1673.741737
1.065,-1355.981137,-1471.7647,-1308.430179,-1675.832341
1.07,-1359.61632,-1477.546585,-1304.544423,-1678.992556
1.075,-1367.623445,-1474.72296,-1308.785469,-1682.089193
1.08,-1361.714403,-1468.76156,-1303.325215,-1678.783122
1.085,-1359.631279,-1484.106369,-1309.174419,-1682.119112
1.09,-1362.686777,-1481.005992,-1309.765323,-1683.865646
1.095,-1350.816335,-1465.597604,-1303.687986,-1682.523022
1.1,-1342.805469,-1466.738274,-1306.006724,-1677.433018
1.105,-1349.986077,-1463.940829,-1301.178513,-1671.097627
1.11,-1355.685685,-1466.970148,-1301.406647,-1670.824615
1.115,-1341.982691,-1469.277666,-1288.500252,-1669.553049
1.12,-1325.826323,-1464.887023,-1280.34353,-1675.708924
1.125,-1348.957605,-1472.5052,-1301.212172,-1678.09498
1.13,-1360.966423,-1470.23508,-1306.492911,-1686.169424
1.135,-1367.8067,-1464.228801,-1311.504377,-1678.0875
1.14,-1352.039282,-1469.588078,-1295.557443,-1681.408531
1.145,-1352.402053,-1475.355003,-1306.593888,-1686.188124
1.15,-1361.804161,-1479.775565,-1305.453218,-1685.107292
1.155,-1356.773996,-1479.517512,-1296.929986,-1693.888578
1.16,-1358.752403,-1473.313018,-1295.916474,-1693.982075
1.165,-1341.152433,-1466.300706,-1285.852403,-1680.903645
1.17,-1347.783276,-1474.524746,-1290.463699,-1669.710124
1.175,-1345.902106,-1460.702075,-1288.249679,-1670.024276
1.18,-1347.229771,-1475.089471,-1294.55889,-1679.22817
1.185,-1351.583014,-1463.925869,-1296.346562,-1681.82366
1.19,-1342.850348,-1471.637543,-1290.269225,-1676.636419
1.195,-1327.355943,-1458.854565,-1275.724754,-1651.522991
1.2,-1329.147355,-1458.360898,-1286.510625,-1666.695765
1.205,-1339.458259,-1470.380937,-1285.411095,-1671.082668
1.21,-1352.607747,-1482.026985,-1283.653342,-1680.264122
1.215,-1347.039036,-1471.248593,-1291.533311,-1681.655365
1.22,-1354.978844,-1476.402175,-1297.105762,-1691.55114
1.225,-1356.744076,-1475.014673,-1294.801983,-1700.586738
1.23,-1363.928424,-1470.23882,-1298.437166,-1694.109232
1.235,-1363.651672,-1469.438482,-1288.668547,-1692.044807
1.24,-1353.150033,-1472.714634,-1279.808724,-1676.98049
1.245,-1354.339321,-1473.915142,-1286.925754,-1683.69361
1.25,-1360.771949,-1473.462614,-1298.250171,-1690.963976
1.255,-1347.487824,-1467.291779,-1281.525339,-1682.369686
1.26,-1348.041329,-1473.945061,-1279.255219,-1683.936704
1.265,-1348.568655,-1465.103938,-1274.868317,-1675.720144
1.27,-1335.939013,-1465.889317,-1267.65405,-1673.259289
1.275,-1338.807516,-1478.182368,-1275.702314,-1682.074234
1.28,-1339.469478,-1473.503753,-1284.726693,-1687.560667
1.285,-1346.53041,-1476.783645,-1280.594103,-1700.261367
1.29,-1341.567562,-1474.685561,-1280.552965,-1686.382598
1.295,-1341.245931,-1469.823691,-1292.221452,-1689.516635
1.3,-1362.286608,-1478.765792,-1294.906701,-1702.191155
1.305,-1346.077882,-1468.065938,-1278.353903,-1681.677804
1.31,-1350.102014,-1467.901383,-1281.85819,-1689.767208
1.315,-1347.585061,-1468.641883,-1277.527385,-1692.089686
1.32,-1342.887747,-1475.945908,-1274.269933,-1688.869632
1.325,-1341.455365,-1469.565638,-1275.055312,-1674.650532
1.33,-1349.256797,-1460.470202,-1279.96954,-1666.538689
1.335,-1357.34246,-1472.206008,-1287.430641,-1673.827754
1.34,-1355.364053,-1476.645269,-1292.778697,-1672.675865
1.345,-1339.084269,-1476.705107,-1284.165708,-1677.683591
1.35,-1343.280437,-1475.235327,-1275.261006,-1669.983137
1.355,-1351.549355,-1475.945908,-1277.710641,-1682.474403
1.36,-1352.577828,-1471.955434,-1274.397089,-1679.538581
1.365,-1353.662399,-1471.562745,-1284.775312,-1682.137812
1.37,-1365.843253,-1488.672787,-1290.916227,-1695.29852
1.375,-1362.914911,-1469.692795,-1280.493126,-1673.551002
1.38,-1359.672418,-1469.707755,-1279.939621,-1683.106446
1.385,-1375.024707,-1469.715234,-1298.882214,-1692.422537
1.39,-1372.384338,-1466.12867,-1286.70136,-1684.314434
1.395,-1359.152572,-1475.923468,-1290.878828,-1680.929824
