relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1743.554449,-2145.702151,-1878.026292,-2138.500974
0.005,-1751.497996,-2148.076988,-1882.334657,-2150.375156
0.01,-1755.428631,-2157.568854,-1888.311017,-2140.920689
0.015,-1754.310401,-2155.45955,-1895.151294,-2149.096111
0.02,-1746.815642,-2142.957065,-1888.453133,-2145.980774
0.025,-1752.997696,-2138.083975,-1888.052964,-2144.140743
0.03,-1759.194711,-2145.189785,-1890.031371,-2143.13845
0.035,-1766.199543,-2141.801436,-1886.822536,-2146.814772
0.04,-1750.877173,-2147.033556,-1882.678727,-2138.328939
0.045,-1762.411025,-2139.905306,-1891.744245,-2132.397457
0.05,-1759.22089,-2145.851747,-1901.138874,-2130.06002
0.055,-1759.493903,-2158.178458,-1892.327669,-2150.176942
0.06,-1761.109539,-2149.393433,-1880.977073,-2151.545745
0.065,-1769.842206,-2144.467984,-1882.652548,-2146.717534
0.07,-1764.479189,-2149.48693,-1897.286777,-2144.941082
0.075,-1774.655457,-2153.466184,-1906.774903,-2151.766399
0.08,-1786.922329,-2153.148292,-1910.458704,-2156.669408
0.085,-1794.577904,-2154.502136,-1913.824614,-2159.444414
0.09,-1792.700474,-2138.241051,-1911.251563,-2156.134602
0.095,-1809.877835,-2150.059135,-1913.286069,-2153.206261
0.1,-1794.551725,-2150.956711,-1909.538689,-2164.654094
0.105,-1783.302106,-2150.6276,-1919.655118,-2157.181774
0.11,-1789.85815,-2156.506722,-1923.391278,-2151.085737
0.115,-1795.239866,-2151.394279,-1914.467877,-2149.600997
0.12,-1797.596003,-2148.694071,-1907.911832,-2146.470701
0.125,-1791.630863,-2150.365807,-1907.578981,-2150.636949
0.13,-1790.022706,-2150.276049,-1900.779843,-2147.753486
0.135,-1798.190647,-2155.47451,-1911.36002,-2149.313025
0.14,-1791.114757,-2145.788169,-1911.906045,-2145.999473
0.145,-1791.862737,-2152.445191,-1908.667292,-2140.109131
0.15,-1782.01558,-2160.994602,-1908.304522,-2144.118304
0.155,-1799.95962,-2165.620858,-1918.181598,-2144.279119
0.16,-1792.659335,-2149.782382,-1907.425645,-2133.130478
0.165,-1791.885176,-2147.976011,-1906.232617,-2145.236534
0.17,-1807.177627,-2156.114033,-1916.824014,-2159.029285
0.175,-1804.623275,-2153.372686,-1913.761036,-2145.030839
0.18,-1798.156988,-2146.932578,-1906.946938,-2139.02456
0.185,-1793.889762,-2144.883113,-1911.621813,-2144.484814
0.19,-1803.849116,-2144.909293,-1911.240343,-2136.533787
0.195,-1801.736073,-2140.944999,-1912.50069,-2146.470701
0.2,-1802.024045,-2152.755603,-1908.700951,-2144.23798
0.205,-1796.455334,-2137.736164,-1905.140566,-2146.178989
0.21,-1788.231294,-2116.044745,-1889.881775,-2143.426422
0.215,-1793.755126,-2147.145753,-1902.088808,-2149.279366
0.22,-1797.562344,-2142.160466,-1895.940413,-2141.193702
0.225,-1790.273279,-2142.837388,-1896.456519,-2142.491447
0.23,-1800.767439,-2158.062521,-1903.704445,-2141.347038
0.235,-1798.897489,-2163.907984,-1909.49755,-2151.829977
0.24,-1798.84139,-2159.21067,-1903.023783,-2150.304098
0.245,-1791.675742,-2149.87214,-1889.029077,-2140.303606
0.25,-1793.61675,-2150.066615,-1892.050917,-2136.006461
0.255,-1793.093164,-2134.489931,-1895.66366,-2139.484568
0.26,-1788.661382,-2125.480512,-1901.621321,-2139.821159
0.265,-1792.674295,-2133.180966,-1898.375087,-2138.448615
0.27,-1797.278112,-2141.427446,-1901.022937,-2137.337865
0.275,-1801.795911,-2132.881774,-1896.77441,-2139.01334
0.28,-1794.978073,-2134.54603,-1895.371948,-2134.981728
0.285,-1794.35351,-2145.447838,-1899.164206,-2137.88763
0.29,-1792.319005,-2137.119081,-1898.461105,-2142.824298
0.295,-1791.290532,-2145.862967,-1893.674033,-2140.786053
0.3,-1786.776473,-2135.933533,-1890.708293,-2134.798473
0.305,-1789.775873,-2161.727623,-1897.713125,-2146.040612
0.31,-1809.417827,-2155.882159,-1896.355541,-2144.780266
0.315,-1792.135749,-2153.828954,-1896.40042,-2135.976541
0.32,-1799.97084,-2154.651732,-1896.897827,-2140.692555
0.325,-1801.881929,-2144.61758,-1901.546523,-2143.359104
0.33,-1795.946707,-2141.180612,-1899.755111,-2144.193102
0.335,-1795.288485,-2131.643867,-1886.014718,-2141.99778
0.34,-1789.543999,-2122.372655,-1887.877188,-2136.578665
0.345,-1806.725099,-2116.018565,-1889.657381,-2142.446568
0.35,-1793.841144,-2121.860289,-1893.04199,-2137.356565
0.355,-1814.15628,-2124.328623,-1901.939212,-2135.015387
0.36,-1792.966007,-2123.849916,-1903.547369,-2122.269808
0.365,-1796.747046,-2112.85461,-1891.620828,-2128.747315
0.37,-1810.143368,-2121.411501,-1903.225738,-2136.41785
0.375,-1811.070863,-2127.324283,-1898.034757,-2135.954102
0.38,-1822.155926,-2128.461213,-1907.593941,-2150.382636
0.385,-1809.739459,-2138.439266,-1914.183645,-2132.756488
0.39,-1775.265061,-2139.849208,-1896.987585,-2119.367646
0.395,-1772.908924,-2137.186399,-1891.856442,-2128.522921
0.4,-1764.621305,-2137.829662,-1887.746292,-2133.923336
0.405,-1758.8469,-2136.02703,-1884.219566,-2131.630778
0.41,-1754.130886,-2135.626861,-1877.749539,-2120.444737
0.415,-1744.874634,-2134.92002,-1867.476034,-2118.956257
0.42,-1750.24513,-2129.28773,-1868.833618,-2128.489262
0.425,-1744.070555,-2122.439974,-1863.762313,-2119.96603
0.43,-1755.596927,-2123.33381,-1861.2865,-2121.357273
0.435,-1759.314387,-2127.79551,-1875.225107,-2118.09608
0.44,-1763.753649,-2131.18012,-1872.031232,-2122.744775
0.445,-1766.663291,-2131.067923,-1870.471694,-2116.293448
0.45,-1768.94837,-2139.374241,-1875.127869,-2130.265714
0.455,-1764.81578,-2144.052855,-1877.005299,-2141.032886
0.46,-1761.917358,-2144.946692,-1874.967054,-2121.140358
0.465,-1759.430324,-2141.502244,-1876.186261,-2113.866253
0.47,-1764.610086,-2141.498504,-1873.422475,-2126.731509
0.475,-1761.812641,-2135.30149,-1860.639497,-2128.145191
0.48,-1752.201098,-2136.098088,-1860.130871,-2113.956011
0.485,-1752.350694,-2141.663059,-1859.78306,-2126.555734
0.49,-1754.018689,-2132.130054,-1861.697889,-2124.184637
0.495,-1752.339474,-2134.239358,-1864.065245,-2121.45825
0.5,-1762.485823,-2131.812163,-1869.50306,-2129.009108
0.505,-1764.658704,-2126.284591,-1866.709355,-2126.469716
0.51,-1770.646284,-2125.630108,-1875.442021,-2132.345099
0.515,-1778.900243,-2125.57027,-1871.099997,-2126.997042
0.52,-1762.59428,-2136.04947,-1873.474834,-2127.976895
0.525,-1758.932918,-2120.727099,-1877.944014,-2124.719443
0.53,-1768.073233,-2126.007838,-1872.584737,-2128.679997
0.535,-1765.515142,-2120.603683,-1877.757019,-2140.355964
0.54,-1766.128485,-2122.361436,-1880.023398,-2137.001274
0.545,-1764.217396,-2124.149108,-1880.584383,-2123.829346
0.55,-1765.462783,-2130.884668,-1888.404514,-2122.464283
0.555,-1761.46483,-2130.278804,-1887.899628,-2115.063021
0.56,-1771.065153,-2124.4483,-1887.387261,-2117.512655
0.565,-1771.700936,-2115.689454,-1875.715034,-2119.520982
0.57,-1762.493302,-2127.354202,-1879.189401,-2114.920905
0.575,-1768.540721,-2126.011578,-1889.743398,-2117.33314
0.58,-1760.503676,-2120.790678,-1881.956927,-2108.656572
0.585,-1757.463137,-2114.316911,-1874.327531,-2114.629193
0.59,-1762.029555,-2113.714787,-1881.46326,-2109.946838
0.595,-1778.402837,-2126.785737,-1894.493071,-2115.994256
0.6,-1763.016888,-2124.874648,-1882.181321,-2119.468623
0.605,-1756.59922,-2126.120035,-1861.62683,-2120.826207
0.61,-1765.507662,-2120.012779,-1867.330178,-2107.194271
0.615,-1773.7878,-2131.617688,-1878.347923,-2119.760335
0.62,-1784.670909,-2125.686207,-1884.129809,-2117.198504
0.625,-1792.659335,-2131.408254,-1886.291471,-2130.774341
0.63,-1791.511186,-2129.912294,-1888.254918,-2121.652725
0.635,-1788.395849,-2125.914341,-1887.361082,-2125.968569
0.64,-1793.560651,-2120.042698,-1880.064537,-2126.559473
0.645,-1792.401282,-2114.152355,-1876.118943,-2126.020928
0.65,-1794.230093,-2117.821197,-1874.533225,-2131.54102
0.655,-1792.984707,-2125.607669,-1875.572917,-2126.750208
0.66,-1790.2471,-2119.728546,-1874.073218,-2124.472609
0.665,-1783.777073,-2127.735672,-1870.434295,-2130.482628
0.67,-1792.618197,-2118.655195,-1868.73264,-2124.783021
0.675,-1796.275819,-2120.543844,-1869.420782,-2120.239042
0.68,-1787.124283,-2125.502952,-1869.065492,-2132.333879
0.685,-1786.540859,-2129.441066,-1870.838204,-2128.283567
0.69,-1792.229247,-2140.567269,-1879.088423,-2130.905237
0.695,-1798.86009,-2144.370747,-1889.69852,-2130.366692
0.7,-1807.603976,-2136.191586,-1890.618535,-2131.993548
0.705,-1807.185107,-2128.666907,-1889.773318,-2122.879412
0.71,-1816.523637,-2127.193386,-1896.692132,-2134.865791
0.715,-1807.918127,-2131.819643,-1887.589216,-2129.708469
0.72,-1809.028878,-2123.756418,-1897.122221,-2126.129385
0.725,-1805.917281,-2119.979119,-1882.802144,-2132.513394
0.73,-1810.43134,-2119.990339,-1887.286284,-2130.564906
0.735,-1801.893148,-2127.144768,-1887.009531,-2127.483229
0.74,-1814.137581,-2136.071909,-1896.78937,-2137.064852
0.745,-1818.423506,-2146.48379,-1898.715418,-2132.352578
0.75,-1803.486346,-2137.478111,-1892.746538,-2132.520874
0.755,-1812.574303,-2138.888054,-1895.098935,-2140.176449
