relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1729.337219,-1994.004329,-1926.31401,-2059.75551
0.005,-1716.251309,-1987.018196,-1925.603429,-2053.476218
0.01,-1670.198181,-1989.86426,-1919.110963,-2063.832001
0.015,-1672.883429,-2002.830493,-1924.717073,-2073.350047
0.02,-1645.481183,-1991.068508,-1920.861236,-2055.443406
0.025,-1635.963137,-1974.16042,-1916.620189,-2043.520605
0.03,-1646.289001,-1980.308816,-1918.927708,-2055.866014
0.035,-1668.575065,-1999.647838,-1928.860882,-2076.760836
0.04,-1661.065346,-1971.000205,-1909.970647,-2059.942505
0.045,-1651.18453,-1973.449839,-1885.137712,-2037.203914
0.05,-1657.684476,-1975.574102,-1900.276827,-2036.298858
0.055,-1641.741283,-1974.328716,-1914.73902,-2051.310816
0.06,-1636.348347,-1961.205407,-1902.614264,-2036.930901
0.065,-1662.452849,-1979.059689,-1916.893202,-2047.761651
0.07,-1659.977035,-1982.855688,-1913.22062,-2048.692886
0.075,-1660.594118,-1976.479158,-1899.072579,-2046.927654
0.08,-1667.101544,-1968.726346,-1901.432456,-2034.926315
0.085,-1683.276611,-1982.044129,-1923.224853,-2065.197065
0.09,-1682.782945,-1973.932286,-1907.214341,-2057.361974
0.095,-1680.666161,-1968.098042,-1905.00406,-2057.997757
0.1,-1692.151394,-1976.243544,-1907.363937,-2046.950093
0.105,-1700.558689,-1970.910447,-1912.091171,-2046.355449
0.11,-1682.124722,-1955.520759,-1898.234841,-2039.260859
0.115,-1685.782344,-1978.554803,-1896.473348,-2039.896642
0.12,-1704.287369,-1983.323175,-1897.591578,-2058.042636
0.125,-1740.280167,-1972.226892,-1898.870624,-2047.885068
0.13,-1710.749917,-1969.990432,-1900.265607,-2054.575749
0.135,-1679.353456,-1974.070663,-1894.233148,-2047.724252
0.14,-1680.890555,-1965.973779,-1873.757196,-2032.143829
0.145,-1689.174434,-1981.341028,-1882.994749,-2036.740166
0.15,-1703.539389,-1968.161621,-1877.71027,-2045.790724
0.155,-1713.364107,-1969.193833,-1872.051802,-2040.614702
0.16,-1699.859328,-1962.267538,-1866.355934,-2036.040805
0.165,-1720.638212,-1984.602221,-1875.559828,-2047.286684
0.17,-1727.048401,-1961.788831,-1862.877827,-2042.043344
0.175,-1699.436719,-1967.750232,-1856.897727,-2044.878188
0.18,-1699.40306,-1967.922267,-1857.185699,-2063.338335
0.185,-1718.11378,-1975.996711,-1866.748623,-2050.03551
0.19,-1718.319474,-1962.798604,-1850.749331,-2023.676696
0.195,-1709.788762,-1970.846869,-1849.444106,-2036.429754
0.2,-1728.132972,-1974.093102,-1858.726538,-2041.923667
