relative_sec,EEG1,EEG2,EEG3,EEG4
0.495,-1342.186516,-1365.345846,-1211.95198,-1210.0652
0.5,-1347.953442,-1325.702907,-1220.452772,-1199.167132
0.505,-1336.816019,-1342.427739,-1219.757151,-1209.253642
0.51,-1339.961275,-1337.640667,-1223.411033,-1206.845146
0.515,-1336.146577,-1350.823815,-1211.218959,-1196.306108
0.52,-1327.017482,-1325.796404,-1201.667255,-1203.823307
0.525,-1339.755581,-1338.384907,-1205.799844,-1220.566839
0.53,-1350.492834,-1358.8459,-1206.32717,-1220.985708
0.535,-1326.075027,-1335.744538,-1202.172141,-1209.762268
0.54,-1324.919398,-1343.209378,-1212.475566,-1205.367886
0.545,-1334.444923,-1341.058936,-1208.731926,-1210.117559
0.55,-1320.281922,-1329.341829,-1202.086124,-1210.196097
0.555,-1323.157905,-1340.131441,-1209.506085,-1201.826201
0.56,-1327.533588,-1352.271156,-1220.434073,-1206.796528
0.565,-1343.241168,-1360.405438,-1225.800829,-1197.450518
0.57,-1341.2665,-1330.504938,-1224.245031,-1196.182691
0.575,-1344.595011,-1334.719806,-1229.955858,-1197.656212
0.58,-1349.049232,-1342.308063,-1237.574034,-1199.092334
0.585,-1328.520921,-1336.073649,-1238.127539,-1178.234912
0.59,-1331.5465,-1331.985939,-1236.265069,-1207.611826
0.595,-1315.068501,-1328.20864,-1213.866808,-1187.827755
0.6,-1343.996627,-1348.134827,-1230.890833,-1205.102353
0.605,-1347.205462,-1352.431972,-1241.542068,-1195.258936
0.61,-1326.31064,-1331.282837,-1231.530356,-1179.43168
0.615,-1324.773542,-1344.533303,-1224.293649,-1185.662353
0.62,-1328.19929,-1335.722099,-1229.776343,-1175.362668
0.625,-1316.24657,-1344.810056,-1233.508763,-1191.706031
0.63,-1315.356474,-1341.578782,-1239.948871,-1187.562222
0.635,-1333.184577,-1346.115281,-1234.028609,-1197.405639
0.64,-1333.824099,-1338.265231,-1229.656666,-1186.473911
0.645,-1324.900698,-1343.669386,-1227.715658,-1190.63642
0.65,-1324.137759,-1337.835142,-1231.994104,-1199.518682
0.655,-1329.100606,-1339.989325,-1228.530956,-1187.233111
