relative_sec,EEG2,EEG3,EEG4,EEG1
0,-1279.492703,-1364.44453,-1469.51141,-1364.44453
0.005,-1270.909632,-1360.173565,-1466.377374,-1360.173565
0.01,-1279.459044,-1361.800421,-1475.652326,-1361.800421
0.015,-1281.912418,-1356.871233,-1477.986023,-1356.871233
0.02,-1286.007609,-1351.792449,-1471.175665,-1351.792449
0.025,-1276.512003,-1356.901152,-1472.85114,-1356.901152
0.03,-1273.729517,-1359.474203,-1473.329848,-1359.474203
0.035,-1276.732657,-1355.708124,-1474.186285,-1355.708124
0.04,-1277.181445,-1353.22857,-1463.789363,-1353.22857
0.045,-1278.587647,-1354.264523,-1464.518643,-1354.264523
0.05,-1278.415612,-1341.440406,-1467.121614,-1341.440406
0.055,-1281.598267,-1351.276343,-1473.498143,-1351.276343
0.06,-1283.883345,-1343.104661,-1473.782376,-1343.104661
0.065,-1269.043422,-1337.397574,-1470.749317,-1337.397574
0.07,-1274.324161,-1345.561776,-1462.125107,-1345.561776
0.075,-1275.778982,-1348.052549,-1472.282676,-1348.052549
0.08,-1276.407285,-1342.984984,-1466.736404,-1342.984984
0.085,-1284.758482,-1354.877866,-1459.638074,-1354.877866
0.09,-1273.714557,-1351.523176,-1462.656173,-1351.523176
0.095,-1275.304015,-1347.053996,-1470.584761,-1347.053996
0.1,-1279.619859,-1351.960744,-1473.288709,-1351.960744
0.105,-1278.295935,-1349.675665,-1462.293403,-1349.675665
0.11,-1271.283622,-1345.647793,-1470.753057,-1345.647793
0.115,-1283.105446,-1350.184292,-1470.079875,-1350.184292
0.12,-1276.003376,-1349.013703,-1461.754857,-1349.013703
0.125,-1278.913018,-1345.41218,-1466.998197,-1345.41218
0.13,-1280.902645,-1345.116727,-1468.681152,-1345.116727
0.135,-1274.694411,-1341.032757,-1466.680306,-1341.032757
0.14,-1276.339967,-1337.835142,-1462.270963,-1337.835142
0.145,-1277.34974,-1333.549217,-1467.144053,-1333.549217
0.15,-1278.280975,-1335.628601,-1469.11498,-1335.628601
0.155,-1284.900598,-1340.976658,-1467.712518,-1340.976658
0.16,-1271.545415,-1334.93672,-1455.041737,-1334.93672
0.165,-1283.363499,-1343.216858,-1472.87358,-1343.216858
0.17,-1282.058274,-1340.333395,-1463.239598,-1340.333395
0.175,-1275.356374,-1330.886408,-1459.073349,-1330.886408
0.18,-1282.622999,-1338.231572,-1476.490063,-1338.231572
0.185,-1273.665939,-1338.033357,-1465.277843,-1338.033357
0.19,-1279.788155,-1324.438821,-1458.938713,-1324.438821
0.195,-1282.402345,-1330.022491,-1470.020036,-1330.022491
0.2,-1286.467616,-1332.490825,-1469.563768,-1332.490825
0.205,-1276.059475,-1332.580583,-1465.827608,-1332.580583
0.21,-1277.899506,-1336.129748,-1463.576189,-1336.129748
0.215,-1284.190017,-1344.020937,-1476.557381,-1344.020937
0.22,-1278.84196,-1344.783876,-1459.993364,-1344.783876
0.225,-1276.545662,-1340.632587,-1465.37508,-1340.632587
0.23,-1276.276389,-1334.805823,-1465.696712,-1334.805823
0.235,-1274.039929,-1330.015011,-1456.197366,-1330.015011
0.24,-1272.192418,-1329.951433,-1458.366508,-1329.951433
0.245,-1280.588494,-1336.78797,-1456.163707,-1336.78797
0.25,-1284.062861,-1332.606762,-1476.99869,-1332.606762
0.255,-1280.379059,-1328.732226,-1466.411033,-1328.732226
0.26,-1270.868494,-1329.659721,-1457.846662,-1329.659721
0.265,-1271.571595,-1338.108155,-1464.466285,-1338.108155
0.27,-1286.089886,-1327.08667,-1479.5867,-1327.08667
0.275,-1282.738936,-1328.926701,-1468.209925,-1328.926701
0.28,-1282.189171,-1338.796296,-1477.544715,-1338.796296
0.285,-1282.22657,-1337.704246,-1484.729063,-1337.704246
0.29,-1284.593926,-1330.845269,-1482.421544,-1330.845269
0.295,-1281.762822,-1328.455473,-1496.03478,-1328.455473
0.3,-1285.390525,-1328.9454,-1507.25074,-1328.9454
0.305,-1282.540721,-1317.407809,-1503.342545,-1317.407809
0.31,-1275.378813,-1312.048532,-1495.316719,-1312.048532
