relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1830.527692,-2306.88436,-1767.284114,-2142.347461
0.005,-1834.521906,-2310.388646,-1769.262521,-2146.921359
0.01,-1831.851617,-2310.295148,-1778.481375,-2146.412732
0.015,-1825.217034,-2301.360527,-1764.83822,-2129.470986
0.02,-1828.261313,-2305.567915,-1768.009655,-2143.697565
0.025,-1832.618296,-2306.184998,-1765.156111,-2156.58152
0.03,-1835.584037,-2308.73935,-1767.688023,-2154.128146
0.035,-1830.815665,-2305.687592,-1758.794541,-2148.38366
0.04,-1831.668362,-2310.833694,-1763.551694,-2146.259396
0.045,-1826.578358,-2306.603867,-1756.135472,-2132.997711
0.05,-1824.521413,-2307.512663,-1759.299428,-2137.567869
0.055,-1826.200628,-2298.551863,-1765.743275,-2130.43588
0.06,-1820.972248,-2302.288023,-1757.287362,-2136.165406
0.065,-1826.017373,-2308.473817,-1752.245976,-2140.832802
0.07,-1831.271933,-2310.743936,-1756.823614,-2145.37304
0.075,-1830.561352,-2310.957111,-1754.684391,-2134.841482
0.08,-1833.515872,-2298.548123,-1759.063814,-2124.141628
0.085,-1830.834364,-2303.181859,-1759.759436,-2132.590062
0.09,-1840.236473,-2306.86192,-1753.532502,-2143.173979
0.095,-1826.193148,-2303.185599,-1752.365653,-2131.53167
0.1,-1828.908316,-2308.215764,-1757.597773,-2133.166007
0.105,-1831.589824,-2303.615687,-1757.990463,-2146.947538
0.11,-1833.586931,-2302.220704,-1756.341167,-2138.065276
0.115,-1832.031132,-2305.956864,-1749.388693,-2144.25107
0.12,-1834.72012,-2305.231324,-1754.534795,-2134.373994
0.125,-1847.862129,-2311.102967,-1761.962237,-2146.057442
0.13,-1841.713733,-2311.428338,-1750.895873,-2149.8684
0.135,-1848.494172,-2308.709431,-1757.085407,-2158.582367
0.14,-1858.576942,-2313.376826,-1759.295688,-2166.144444
0.145,-1865.405999,-2306.428092,-1772.65835,-2157.3482
