relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1354.804938,-1249.494965,-1375.544553,-1419.667893
0.005,-1352.310425,-1237.186955,-1364.82226,-1429.193418
0.01,-1349.292326,-1227.803546,-1362.899952,-1423.935119
0.015,-1349.636397,-1244.651795,-1361.074881,-1417.595989
0.02,-1341.621791,-1234.254873,-1356.130733,-1418.317789
0.025,-1353.495973,-1233.088024,-1368.984769,-1427.596481
0.03,-1343.974188,-1231.909956,-1361.774242,-1424.137074
0.035,-1344.28834,-1235.791972,-1358.905739,-1414.843422
0.04,-1354.984453,-1231.891256,-1368.453703,-1413.272664
0.045,-1336.079259,-1234.191295,-1350.827555,-1413.033311
0.05,-1336.445769,-1243.066077,-1355.573488,-1421.380767
0.055,-1342.76246,-1232.530779,-1362.024815,-1416.287024
0.06,-1344.497774,-1233.540552,-1365.495442,-1418.781537
0.065,-1338.528894,-1234.266093,-1352.977997,-1425.02343
0.07,-1339.089879,-1226.094411,-1350.068355,-1401.645315
0.075,-1352.235627,-1228.435589,-1360.222183,-1432.649086
0.08,-1357.277012,-1231.659382,-1359.156312,-1416.144907
0.085,-1346.558459,-1235.365623,-1366.063907,-1433.157712
0.09,-1344.404276,-1228.929255,-1364.530548,-1411.256858
0.095,-1346.577158,-1227.837205,-1364.014442,-1421.837035
0.1,-1336.198936,-1234.797159,-1361.10106,-1416.017751
0.105,-1346.061052,-1228.256073,-1358.000683,-1407.041991
0.11,-1344.62867,-1223.51388,-1357.72019,-1408.298597
0.115,-1359.012326,-1231.883776,-1364.130379,-1426.014503
0.12,-1340.387624,-1227.848424,-1359.642499,-1405.628309
0.125,-1342.736281,-1230.320498,-1359.317128,-1404.543738
0.13,-1300.16874,-1234.628863,-1359.747216,-1416.993865
0.135,-1298.381068,-1242.419075,-1362.20059,-1408.014365
0.14,-1296.514858,-1234.557805,-1370.499428,-1392.385323
0.145,-1263.446662,-1221.520514,-1350.752757,-1388.084438
0.15,-1260.084492,-1222.051579,-1344.406146,-1376.883438
0.155,-1253.464869,-1220.368624,-1350.524623,-1369.654211
0.16,-1241.47101,-1213.689163,-1336.249425,-1372.784507
0.165,-1252.073626,-1225.01358,-1347.431725,-1382.642884
0.17,-1256.011741,-1218.543553,-1350.206731,-1370.731302
0.175,-1244.354473,-1206.261722,-1346.1265,-1370.376012
0.18,-1264.475135,-1212.376458,-1354.36924,-1375.28276
0.185,-1254.755135,-1215.865785,-1352.663846,-1363.487116
0.19,-1234.238043,-1206.789048,-1354.930225,-1367.219536
0.195,-1269.972788,-1210.181137,-1352.413272,-1371.060413
0.2,-1277.74804,-1219.05966,-1360.431618,-1379.04884
0.205,-1271.509886,-1213.782661,-1363.591833,-1364.485669
0.21,-1275.930448,-1214.100552,-1361.635866,-1386.001314
0.215,-1285.437274,-1214.601699,-1365.517882,-1373.07248
0.22,-1271.887616,-1219.897397,-1367.193357,-1384.625031
0.225,-1279.258959,-1215.476835,-1367.735642,-1374.112172
0.23,-1276.326878,-1215.420737,-1366.078867,-1383.645177
0.235,-1290.05979,-1217.208409,-1362.122053,-1385.077558
0.24,-1286.966893,-1209.055427,-1360.083807,-1373.315573
0.245,-1282.60243,-1213.184277,-1356.680498,-1384.179982
0.25,-1293.893188,-1217.761914,-1358.198897,-1379.434049
0.255,-1293.500498,-1212.780367,-1364.642745,-1366.602453
0.26,-1305.460698,-1214.784954,-1369.542014,-1383.222568
0.265,-1289.442707,-1211.310587,-1359.339567,-1375.798867
0.27,-1286.039398,-1212.013688,-1358.47565,-1386.719375
0.275,-1292.849756,-1208.180291,-1359.773395,-1375.069586
0.28,-1295.755658,-1211.273188,-1351.669032,-1379.546246
0.285,-1291.709086,-1210.001622,-1358.423291,-1376.161637
0.29,-1290.732972,-1198.894119,-1347.63368,-1371.5653
0.295,-1282.2247,-1199.155912,-1346.53041,-1375.604392
0.3,-1305.920706,-1211.258228,-1362.727916,-1389.958128
0.305,-1295.699559,-1216.823199,-1366.097566,-1387.725408
0.31,-1280.504346,-1197.214904,-1360.820567,-1372.986462
0.315,-1309.664346,-1205.012595,-1364.272495,-1382.568086
0.32,-1322.316427,-1209.205023,-1360.611133,-1385.653503
0.325,-1318.288555,-1199.840314,-1353.505323,-1377.137751
0.33,-1299.267424,-1204.417951,-1347.323268,-1378.831926
0.335,-1311.814788,-1204.204777,-1348.699552,-1376.984415
0.34,-1306.107701,-1203.3446,-1357.413518,-1387.201822
0.345,-1308.01131,-1197.34206,-1349.679405,-1377.096612
0.35,-1321.908778,-1199.720637,-1353.778336,-1397.452887
0.355,-1303.257897,-1196.085454,-1351.870987,-1373.783061
0.36,-1299.03929,-1204.582507,-1350.292749,-1384.464215
0.365,-1322.937251,-1212.761668,-1356.807655,-1391.461568
0.37,-1309.032303,-1203.213703,-1354.990063,-1378.528994
0.375,-1328.079613,-1200.072187,-1360.506416,-1389.165269
0.38,-1317.630333,-1202.368486,-1357.566854,-1369.388678
0.385,-1326.998782,-1212.600852,-1366.123745,-1388.884777
0.39,-1282.538851,-1191.507817,-1353.108894,-1357.611733
0.395,-1319.141252,-1197.910525,-1353.168732,-1367.152218
0.4,-1325.701037,-1197.031649,-1356.886193,-1393.481114
0.405,-1327.963676,-1205.169671,-1363.359959,-1375.219182
0.41,-1313.277089,-1197.248563,-1363.285161,-1385.993834
0.415,-1335.249001,-1194.682992,-1358.348493,-1386.857751
0.42,-1313.370587,-1194.118267,-1348.030109,-1381.098305
0.425,-1311.164046,-1198.445331,-1346.691225,-1389.400883
0.43,-1308.299282,-1192.218398,-1340.598928,-1389.026893
0.435,-1322.503422,-1196.033095,-1349.391433,-1385.462768
0.44,-1328.408724,-1187.427586,-1353.770856,-1369.960883
0.445,-1315.446231,-1192.184738,-1348.471418,-1375.843745
0.45,-1315.012403,-1198.318174,-1348.067508,-1386.760513
0.455,-1297.700406,-1183.336135,-1340.329655,-1363.588093
0.46,-1296.114688,-1181.686839,-1341.481545,-1382.564346
0.465,-1331.512841,-1186.53375,-1340.116481,-1368.909971
0.47,-1305.071749,-1184.484284,-1340.965438,-1374.19071
0.475,-1319.638659,-1185.456658,-1342.603515,-1376.569286
